NUMERO;AGE;SEXE;METIER;CODEW0;COMVIN;CERTIF
1357;81;0;4;52;1;0
1363;68;1;6;46;2;0
1365;70;0;7;27;2;0
1369;69;1;5;35;1;0
1372;67;1;6;39;0;1
1375;74;1;6;32;0;0
1383;70;1;7;39;0;1
1384;82;0;5;23;2;0
1385;66;1;0;48;0;1
1393;68;0;6;36;1;1
1397;66;0;6;39;2;1
1408;74;1;6;47;0;1
1409;68;0;5;37;2;0
1412;67;1;3;26;1;0
1422;70;1;2;33;0;0
1430;70;1;5;19;2;0
1435;68;0;5;11;2;0
1440;66;1;0;28;2;0
1449;74;0;6;35;2;1
1466;71;1;6;44;0;1
1467;69;1;0;35;0;1
1468;67;1;6;29;0;0
1480;65;1;6;30;1;0
1482;76;1;4;42;0;0
1484;67;1;7;40;0;1
1486;66;1;3;33;0;0
1488;66;1;3;28;0;0
1497;67;1;6;40;0;1
1499;74;1;6;27;0;0
1511;70;1;2;43;0;0
1512;79;0;7;38;1;1
1514;78;0;5;25;1;0
1523;69;1;0;48;1;1
1529;70;1;4;29;0;0
1533;65;0;7;42;2;1
1534;67;1;0;21;0;0
1546;66;1;3;26;0;0
1554;79;0;6;25;1;0
1560;77;1;6;47;1;1
1562;74;1;3;30;0;0
1564;68;1;6;34;0;0
1566;69;1;7;41;1;1
1571;68;0;4;26;1;0
1572;75;0;6;30;1;0
1573;74;1;6;29;0;1
1576;66;1;6;26;2;1
1594;72;1;7;46;0;1
1595;73;0;5;53;2;1
1599;67;1;6;43;1;1
1604;84;0;4;31;2;0
1610;67;0;7;39;0;1
1614;68;0;6;31;0;1
1620;68;1;0;16;1;1
1624;71;0;5;45;2;0
1628;71;0;6;47;1;1
1629;72;0;6;23;1;0
1630;69;0;6;44;2;1
1632;68;0;7;34;2;1
1633;66;1;7;52;0;1
1635;69;1;6;42;2;0
1636;68;0;6;53;1;1
1639;70;0;7;31;1;1
1651;70;1;7;32;0;1
1654;80;1;6;43;0;0
1655;73;1;6;36;1;0
1657;69;0;6;38;1;0
1659;76;1;6;27;1;0
1665;69;1;6;41;1;1
1669;67;1;5;40;0;0
1670;78;1;6;25;0;0
1675;68;0;5;36;2;0
1679;85;1;6;35;0;1
1680;75;0;6;33;1;1
1684;71;1;6;43;1;1
1685;71;1;6;20;1;0
1710;67;0;6;42;2;1
1725;74;0;4;23;1;0
1756;67;1;0;33;0;0
1764;72;1;1;34;1;0
1779;76;1;6;24;1;0
1805;74;1;4;27;1;0
1806;66;0;1;27;1;0
1807;73;0;6;39;2;0
1812;70;0;5;43;2;0
1816;66;1;2;27;1;0
1818;66;1;0;58;0;1
1819;77;0;6;33;2;0
1827;68;1;6;47;2;1
1868;74;1;6;15;0;0
1875;70;1;6;28;0;0
1884;68;1;7;46;1;1
1885;77;0;5;25;1;0
1895;67;1;0;18;0;0
1904;68;1;6;29;0;0
1924;76;1;6;17;1;0
1927;77;0;6;48;2;1
1962;66;1;5;26;0;0
1963;78;1;2;18;1;0
1981;75;0;2;22;2;0
1988;68;1;3;28;1;0
1990;70;0;5;31;2;0
2000;68;0;6;31;0;0
2023;75;1;6;53;0;1
2038;74;1;4;35;0;0
2055;74;1;4;27;1;0
2065;66;1;6;36;1;0
2074;69;0;4;33;1;0
2097;67;0;7;41;2;1
2101;69;1;6;29;0;1
2103;66;1;1;34;0;0
2122;71;1;4;35;0;0
2148;67;1;2;34;2;0
2149;80;1;2;22;1;0
2156;78;0;2;28;1;0
2158;71;0;7;42;2;1
2160;75;0;4;20;2;0
2165;75;1;5;38;0;0
2168;74;1;2;19;0;0
2171;66;1;0;34;0;1
2181;66;0;7;44;2;1
2216;68;1;6;45;0;1
2220;74;0;6;53;1;0
2224;68;1;0;15;0;0
2227;72;0;5;42;2;0
2233;66;1;6;42;0;0
2234;67;1;6;37;0;0
2237;70;1;0;40;1;1
2238;73;0;6;52;1;1
2240;70;1;6;43;0;0
2241;70;0;2;24;1;0
2251;79;1;4;35;2;0
2253;67;1;1;22;0;0
2258;80;1;5;45;0;1
2260;66;1;0;30;0;0
2261;68;0;7;53;1;1
2263;74;0;6;27;2;0
2266;76;0;6;39;1;0
2270;82;1;6;18;0;0
2274;72;1;4;30;0;0
2309;76;0;6;29;2;0
2319;73;1;6;23;0;0
2350;68;1;6;53;1;1
2367;67;0;5;36;1;0
2368;68;0;6;43;1;1
2385;75;1;6;16;0;0
2390;66;0;4;27;0;1
2397;70;0;6;33;1;1
2401;68;1;2;43;0;0
2402;73;1;0;36;0;0
2404;74;0;6;16;2;0
2412;78;1;0;32;0;0
2414;82;0;7;29;1;1
2418;70;0;6;23;0;0
2420;69;0;5;40;1;0
2438;73;1;7;33;1;1
2439;74;0;5;39;1;0
2445;67;1;0;26;0;0
2446;66;0;7;43;0;1
2447;67;0;6;39;1;0
2454;69;1;0;45;0;0
2465;80;0;5;38;1;1
2477;73;0;4;15;1;0
2491;76;0;2;23;1;0
2497;66;1;2;28;0;0
2500;88;0;6;30;2;0
2504;66;1;0;52;2;1
2508;67;0;7;38;1;1
2529;85;0;5;17;1;0
2534;66;1;6;39;1;0
2537;68;0;4;51;2;0
2547;75;1;6;30;1;1
2548;75;1;6;27;1;0
2552;67;0;2;31;2;0
2553;68;1;6;39;0;0
2557;69;0;2;26;2;0
2569;76;1;3;30;0;0
2578;67;0;5;32;1;0
2582;67;1;6;46;1;1
2585;70;1;6;41;0;1
2586;69;0;4;16;2;0
2587;67;1;3;41;0;0
2621;75;0;5;26;1;0
2649;76;0;7;34;2;0
2650;70;1;0;31;1;0
2661;67;1;5;34;0;0
2666;68;1;5;41;0;1
2667;67;0;5;40;0;0
2672;68;1;6;34;1;0
2673;68;1;6;38;0;0
2683;66;0;7;58;0;1
2691;66;0;2;39;1;1
2693;67;0;7;35;1;1
2694;66;0;2;39;0;1
2695;68;1;3;22;1;0
2702;70;1;1;27;0;0
2710;77;1;2;29;1;0
2714;80;1;6;16;1;0
2726;70;0;3;37;2;0
2728;79;1;3;22;0;0
2734;81;0;2;17;2;0
2736;70;0;1;21;2;0
2740;77;1;7;37;0;1
2747;66;0;5;30;0;0
2753;68;1;6;31;1;0
2754;68;1;2;35;1;0
2758;66;0;5;29;1;0
2762;68;0;6;26;2;0
2772;67;1;1;30;1;0
2778;66;1;2;45;1;1
2802;66;0;7;44;1;1
2818;74;0;1;23;0;0
2830;76;1;5;29;1;0
2832;71;1;6;44;1;1
2840;67;1;0;42;0;1
2843;67;0;5;42;2;0
2858;66;0;6;26;0;0
2860;66;0;6;47;0;1
2872;87;0;4;20;2;0
2875;67;1;0;38;0;1
2878;77;0;6;39;1;0
2879;66;1;6;36;0;1
2880;71;1;6;38;0;0
2885;70;1;4;21;0;0
2890;67;0;5;22;1;0
2900;69;1;5;27;1;0
2918;69;0;4;28;2;0
2923;66;1;5;36;0;0
2927;68;0;4;34;0;0
2936;66;1;3;29;0;0
